id,full_id,brand,category4,name,price,old_price,discount,rating,total_reviews
334520266,ox-spacetek-18-inches-standing-fan-334520266,Ox,Household Fans,Ox Spacetek 18 Inches Standing Fan,"₦ 19,400","₦ 25,000",22%,4.2,270
76698431,binatone-16-inches-standing-fan-a1691-black-2-years-warranty-76698431,Binatone,Household Fans,Binatone 16 Inches Standing Fan (A1691) - Black + 2 Years Warranty,"₦ 40,740","₦ 50,740",20%,4.3,891
346616815,glamstar-18-inches-rechargeable-standing-fan-white-346616815,Glamstar,Household Fans,Glamstar 18 Inches Rechargeable Standing Fan White,"₦ 69,500","₦ 85,000",18%,4.7,13
46157327,cloud-energy-16-10watt-dc-standing-fan-with-remote-control-inverter-fance-dc-409-black-46157327,Cloud Energy,Household Fans,Cloud Energy 16'' 10watt DC Standing Fan With Remote Control-INVERTER FAN(CE-DC-409) - Black,"₦ 39,990","₦ 50,000",20%,4.3,442
82939109,nexus-16-inches-standing-fan-nx-4400b-black-82939109,Nexus,Household Fans,Nexus 16 Inches Standing Fan (NX 4400B) - Black,"₦ 20,475","₦ 25,475",20%,4,3840
mpg3352822,18-inches-standing-fan-heavy-breeze-ox-mpg3352822,Generic,Household Fans,"18-inches Standing Fan, Heavy Breeze","₦ 25,900",,,3.9,38
mpg4125084,16-10watt-dc-standing-fan-with-remote-control-inverter-fan-cloud-energy-mpg4125084,Cloud Energy,Household Fans,Cloud Energy 16'' 10watt DC Standing Fan With Remote Control-INVERTER FAN,"₦ 38,799","₦ 92,000",58%,4.4,71
mpg3147329,18-standing-fan-hexa-18-inch-ox-mpg3147329,Ox,Household Fans,Ox 18'' Standing Fan  - 18 Inch,"₦ 29,999","₦ 32,500",8%,3.8,13
238829587,ox-2-sets-of-18-standing-fan-promo-238829587,Ox,Household Fans,Ox 2 Sets Of 18” Standing Fan - Promo,"₦ 56,900","₦ 72,000",21%,4.7,23
118781591,duravolt-16-inches-3-in-1-rechargeable-fan-solar-panel-2-bulbs-118781591,Duravolt,Household Fans,Duravolt 16 Inches -3 In 1 Rechargeable Fan +Solar Panel + 2-Bulbs,"₦ 74,998","₦ 99,000",24%,3.7,554
304841225,tses-mini-industrial-antique-fan-30w-304841225,TSES,Household Fans,TSES MINI INDUSTRIAL ANTIQUE FAN-30w,"₦ 65,000",,,5,1
41499869,power-deluxe-16-wall-fan-blue-41499869,Power Deluxe,Household Fans,"Power Deluxe 16"" Wall Fan BLUE","₦ 36,900",,,3.5,4
mpg3147324,18-inches-standing-fan-plastic-blade-ox-mpg3147324,Ox,Household Fans,Ox 18-Inches Standing Fan (Plastic Blade)+ Free Gift Inside,"₦ 25,990","₦ 120,000",78%,4.3,268
52531160,ox-18-plus-standing-fan-18-inches-52531160,Ox,Household Fans,"Ox 18"" PLUS STANDING FAN - 18 Inches","₦ 24,190","₦ 67,900",64%,4.3,89
mpg3632957,18-inches-acdc-standing-fan-remote-non-rechargeable-qasa-mpg3632957,Qasa,Household Fans,Qasa 18 Inches AC/DC Standing Fan + Remote (Non Rechargeable),"₦ 44,999","₦ 75,000",40%,4.3,180
303231929,generic-portable-home-small-air-humidifier-3-speed-fan-green-303231929,Generic,Household Fans,Portable Home Small Air Humidifier 3-Speed Fan - Green,"₦ 13,068","₦ 25,670",49%,3.3,3
293178033,generic-foldable-rechargeable-fan-adjustable-desktop-with-usb-293178033,Generic,Household Fans,Foldable Rechargeable Fan Adjustable Desktop With USB,"₦ 22,000",,,5,1
336374678,itel-electric-fan16-inch-lite-7-blade-imitation-natural-wind-336374678,itel,Household Fans,itel Electric Fan16 Inch-Lite 7-Blade Imitation Natural Wind,"₦ 27,000","₦ 45,000",40%,4.5,6
356188270,generic-16-solar-rechargeable-fan-with-25watts-solar-panel-356188270,Generic,Household Fans,"16"" Solar Rechargeable Fan With 25watts Solar Panel","₦ 65,000","₦ 90,000",28%,,
mpg3632948,standing-fan-industrial-20-inches-ox-mpg3632948,Ox,Household Fans,"Ox Standing Fan Industrial 20"" Inches","₦ 96,990","₦ 160,000",39%,4.3,24
77057858,duravolt-17-inches-standing-fan-dsf-173-black-77057858,Duravolt,Household Fans,Duravolt 17 Inches Standing Fan (DSF-173) - Black,"₦ 28,890","₦ 35,000",17%,4.1,58
288013512,duravolt-7inches-rechargeable-table-fansolar-panelbulbs-288013512,Duravolt,Household Fans,Duravolt 7inches  Rechargeable Table Fan+Solar Panel+Bulbs,"₦ 28,500","₦ 35,000",19%,3.3,3
290890919,ace-elec-8.7-inches-rechargeable-table-fan-290890919,Ace Elec,Household Fans,Ace Elec 8.7 inches Rechargeable Table Fan,"₦ 5,699","₦ 15,294",63%,3.2,324
21766096,binatone-20-inches-typhoon-series-stand-fan-ts-2020-mk-2-black-and-red-21766096,Binatone,Household Fans,Binatone 20 Inches Typhoon Series Stand Fan (TS-2020 MK 2) - Black And Red,"₦ 72,899","₦ 110,750",34%,4.5,349
321215172,ox-18-plus-wall-fan-18-inch-321215172,Ox,Household Fans,Ox 18 Plus Wall Fan - 18'' Inch,"₦ 28,500","₦ 35,000",19%,5,3
318360019,generic-foldable-charging-fan-low-noise-adjustable-desktop-usb-318360019,Generic,Household Fans,Foldable Charging Fan Low Noise Adjustable Desktop Usb,"₦ 22,500",,,,
mpg4128539,18-inches-acdc-standing-fan-remote-non-rechargeable-qasa-mpg4128539,Qasa,Household Fans,Qasa 18 Inches AC/DC Standing Fan + Remote (Non Rechargeable),"₦ 51,000","₦ 60,000",15%,4.2,62
277586279,generic-7200mah-rechargeable-fan-usb-folding-telescopic-7.7-inch-max-277586279,Generic,Household Fans,7200MaH Rechargeable Fan USB Folding Telescopic 7.7 Inch Max,"₦ 11,880","₦ 24,876",52%,3.3,29
350096121,duravolt-dc-18-inches-standing-fan-with-adapter.-350096121,Duravolt,Household Fans,Duravolt DC 18 Inches Standing Fan With Adapter.,"₦ 42,500","₦ 60,000",29%,3.8,4
10105472,binatone-18-inch-standing-fan-ts-1880-mk2-black-10105472,Binatone,Household Fans,Binatone 18 Inch Standing Fan TS-1880 (MK2) - Black,"₦ 52,799","₦ 78,920",33%,4.3,294
mpg4310459,18-plus-standing-fan-18-inches-ox-mpg4310459,Ox,Household Fans,"Ox 18"" STANDING ELECTRIC FAN - 18 Inches","₦ 27,500","₦ 33,000",17%,4.4,224
259434414,ox-18-standing-electric-fan-free-gift-259434414,Ox,Household Fans,"Ox 18"" Standing Electric Fan + Free Gift","₦ 25,990","₦ 145,000",82%,3,1
202234870,binatone-1.6m-stand-fan-a-1691-mk2-black-202234870,Binatone,Household Fans,Binatone 1.6M Stand Fan (A-1691 (MK2) - Black,"₦ 45,699","₦ 70,250",35%,4,22
254991929,generic-7200mah-rechargeable-fan-usb-folding-telescopic-7.7-inch-max-254991929,Generic,Household Fans,7200MaH Rechargeable Fan USB Folding Telescopic 7.7 Inch Max,"₦ 12,000","₦ 34,876",66%,3.7,120
279711676,bb-18-inches-wall-industrial-fan-2-years-warranty-279711676,BB,Household Fans,BB 18' Inches Wall Industrial Fan 2 Years Warranty,"₦ 29,990",,,3.8,10
315301864,binatone-rechargeable-fan-with-lithium-ion-batteries-rcfm-1875-315301864,Binatone,Household Fans,Binatone Rechargeable Fan With Lithium-Ion Batteries RCFM-1875,"₦ 95,699","₦ 109,000",12%,4,1
mpg3352813,industrial-18-inches-standing-fan-ox-mpg3352813,Ox,Household Fans,"Ox Industrial 18"" Inches Standing Fan","₦ 89,500",,,4,4
259463905,duravolt-18-inches-acdc-standing-fan-non-rechargeable-259463905,Duravolt,Household Fans,Duravolt 18 Inches AC/DC Standing Fan  (Non Rechargeable),"₦ 45,999","₦ 55,000",16%,3.5,14
288794173,duravolt-solar-ceiling-fan-acdc-288794173,Duravolt,Household Fans,Duravolt Solar Ceiling Fan AC/DC,"₦ 49,999","₦ 65,000",23%,4,2
265594953,ox-18-inches-2-in-1-rechargeable-fan-with-solar-panel-265594953,Ox,Household Fans,Ox 18 Inches 2 In 1 Rechargeable Fan With Solar Panel,"₦ 83,930",,,4.3,40
mpg3632911,26-inch-industrial-standing-water-acmist-fan-26-generic-mpg3632911,Generic,Household Fans,26 Inch Industrial Standing Water AC/Mist Fan 26'',"₦ 185,000",,,4.5,20
102988831,binatone-16-inch-duo-power-series-standing-fan-a1692-102988831,Binatone,Household Fans,Binatone 16 Inch Duo Power Series Standing Fan (A1692),"₦ 41,895","₦ 51,895",19%,5,2
265520890,binatone-16-inch-standing-fan-with-remote-control-a-1612-265520890,Binatone,Household Fans,Binatone 16-Inch Standing Fan With Remote Control A-1612,"₦ 84,000","₦ 190,000",56%,,
26742221,binatone-20-inches-heavy-duty-industrial-fan-hdf-2021-black-26742221,Binatone,Household Fans,Binatone 20 Inches Heavy Duty Industrial Fan (HDF-2021) - Black,"₦ 113,399","₦ 166,180",32%,4.3,89
mpg3968470,standing-fan-industrial-20-inches-ox-mpg3968470,Ox,Household Fans,"Ox Standing Fan Industrial 20"" Inches","₦ 104,985","₦ 115,500",9%,4.1,43
316769940,iwin-mini-rechargeable-desktop-fan-316769940,Iwin,Household Fans,Iwin Mini Rechargeable Desktop Fan,"₦ 9,500","₦ 25,000",62%,4,57
mpg3352826,20-inches-industrial-standing-fan-ox-mpg3352826,Ox,Household Fans,"Ox 20"" Inches Industrial Standing Fan","₦ 105,500","₦ 120,000",12%,5,2
mpg4128518,plus-standing-fan-ox-mpg4128518,Ox,Household Fans,Ox Plus Standing Fan,"₦ 29,998","₦ 50,000",40%,4.3,234
