,full_id,brand,name,price,old_price,discount,rating,total_reviews
0,ox-spacetek-18-inches-standing-fan-334520266,Ox,Ox Spacetek 18 Inches Standing Fan,19400.0,25000.0,22,4.2,270
1,binatone-16-inches-standing-fan-a1691-black-2-years-warranty-76698431,Binatone,Binatone 16 Inches Standing Fan (A1691) - Black + 2 Years Warranty,40740.0,50740.0,20,4.3,891
2,glamstar-18-inches-rechargeable-standing-fan-white-346616815,Glamstar,Glamstar 18 Inches Rechargeable Standing Fan White,69500.0,85000.0,18,4.7,13
3,cloud-energy-16-10watt-dc-standing-fan-with-remote-control-inverter-fance-dc-409-black-46157327,Cloud Energy,Cloud Energy 16'' 10watt DC Standing Fan With Remote Control-INVERTER FAN(CE-DC-409) - Black,39990.0,50000.0,20,4.3,442
4,nexus-16-inches-standing-fan-nx-4400b-black-82939109,Nexus,Nexus 16 Inches Standing Fan (NX 4400B) - Black,20475.0,25475.0,20,4.0,3840
5,18-inches-standing-fan-heavy-breeze-ox-mpg3352822,Generic,"18-inches Standing Fan, Heavy Breeze",25900.0,25900.0,0,3.9,38
6,16-10watt-dc-standing-fan-with-remote-control-inverter-fan-cloud-energy-mpg4125084,Cloud Energy,Cloud Energy 16'' 10watt DC Standing Fan With Remote Control-INVERTER FAN,38799.0,92000.0,58,4.4,71
7,18-standing-fan-hexa-18-inch-ox-mpg3147329,Ox,Ox 18'' Standing Fan  - 18 Inch,29999.0,32500.0,8,3.8,13
8,ox-2-sets-of-18-standing-fan-promo-238829587,Ox,Ox 2 Sets Of 18” Standing Fan - Promo,56900.0,72000.0,21,4.7,23
9,duravolt-16-inches-3-in-1-rechargeable-fan-solar-panel-2-bulbs-118781591,Duravolt,Duravolt 16 Inches -3 In 1 Rechargeable Fan +Solar Panel + 2-Bulbs,74998.0,99000.0,24,3.7,554
10,tses-mini-industrial-antique-fan-30w-304841225,TSES,TSES MINI INDUSTRIAL ANTIQUE FAN-30w,65000.0,65000.0,0,5.0,1
11,power-deluxe-16-wall-fan-blue-41499869,Power Deluxe,"Power Deluxe 16"" Wall Fan BLUE",36900.0,36900.0,0,3.5,4
12,18-inches-standing-fan-plastic-blade-ox-mpg3147324,Ox,Ox 18-Inches Standing Fan (Plastic Blade)+ Free Gift Inside,25990.0,120000.0,78,4.3,268
13,ox-18-plus-standing-fan-18-inches-52531160,Ox,"Ox 18"" PLUS STANDING FAN - 18 Inches",24190.0,67900.0,64,4.3,89
14,18-inches-acdc-standing-fan-remote-non-rechargeable-qasa-mpg3632957,Qasa,Qasa 18 Inches AC/DC Standing Fan + Remote (Non Rechargeable),44999.0,75000.0,40,4.3,180
15,generic-portable-home-small-air-humidifier-3-speed-fan-green-303231929,Generic,Portable Home Small Air Humidifier 3-Speed Fan - Green,13068.0,25670.0,49,3.3,3
16,generic-foldable-rechargeable-fan-adjustable-desktop-with-usb-293178033,Generic,Foldable Rechargeable Fan Adjustable Desktop With USB,22000.0,22000.0,0,5.0,1
17,itel-electric-fan16-inch-lite-7-blade-imitation-natural-wind-336374678,itel,itel Electric Fan16 Inch-Lite 7-Blade Imitation Natural Wind,27000.0,45000.0,40,4.5,6
18,generic-16-solar-rechargeable-fan-with-25watts-solar-panel-356188270,Generic,"16"" Solar Rechargeable Fan With 25watts Solar Panel",65000.0,90000.0,28,0.0,0
19,standing-fan-industrial-20-inches-ox-mpg3632948,Ox,"Ox Standing Fan Industrial 20"" Inches",96990.0,160000.0,39,4.3,24
20,duravolt-17-inches-standing-fan-dsf-173-black-77057858,Duravolt,Duravolt 17 Inches Standing Fan (DSF-173) - Black,28890.0,35000.0,17,4.1,58
21,duravolt-7inches-rechargeable-table-fansolar-panelbulbs-288013512,Duravolt,Duravolt 7inches  Rechargeable Table Fan+Solar Panel+Bulbs,28500.0,35000.0,19,3.3,3
22,ace-elec-8.7-inches-rechargeable-table-fan-290890919,Ace Elec,Ace Elec 8.7 inches Rechargeable Table Fan,5699.0,15294.0,63,3.2,324
23,binatone-20-inches-typhoon-series-stand-fan-ts-2020-mk-2-black-and-red-21766096,Binatone,Binatone 20 Inches Typhoon Series Stand Fan (TS-2020 MK 2) - Black And Red,72899.0,110750.0,34,4.5,349
24,ox-18-plus-wall-fan-18-inch-321215172,Ox,Ox 18 Plus Wall Fan - 18'' Inch,28500.0,35000.0,19,5.0,3
